WMU,Animal,Tag Type,Season Start,Season End
260,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
212,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Nov 30
247,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Nov 30
248,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Nov 30
9361,White-tailed deer,Antlered and antlerless (Archery),Oct 17,Oct 31
9361,White-tailed deer,Antlered and antlerless (General),Nov 9,Nov 30
210,White-tailed deer,Antlered (Archery),Sep 1,Oct 31
210,White-tailed deer,Antlered (General),Nov 1,Nov 30
210,White-tailed deer,Antlerless (Archery),Sep 1,Oct 31
210,White-tailed deer,Antlerless (General),Nov 1,Nov 30
200,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
200,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
202,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
202,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
203,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
203,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
204,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
204,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
228,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
228,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
230,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
230,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
232,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
232,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
234,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
234,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
236,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
236,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
238,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
238,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
240,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
240,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
244,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
244,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
246,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
246,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
250,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
250,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
252,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
252,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
254,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
254,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
256,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
256,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
258,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
258,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
260,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
260,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
212,Mule deer,Antlered and antlerless (Archery),Sep 1,Nov 30
247,Mule deer,Antlered and antlerless (Archery),Sep 1,Nov 30
